date de saisie;Activitées;description; Montant Brut ;Type;Années
14/04/2021;Wholesale Sales;Vente - Wholesale Sales - client 9850;1 606 982;Revenu;2021
22/04/2021;Export Sales;Vente - Export Sales - client 2627;948 645;Revenu;2021
26/09/2021;Maintenance;Charge - Maintenance - fournisseur 428;257 025;Dépenses;2021
16/06/2021;Other Operating Income;Vente - Other Operating Income - client 7809;186 450;Revenu;2021
14/02/2021;Other Operating Income;Vente - Other Operating Income - client 9270;527 701;Revenu;2021
01/12/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 710;656 581;Dépenses;2021
21/08/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 740;492 171;Dépenses;2021
26/08/2021;Wholesale Sales;Vente - Wholesale Sales - client 5839;2 925 683;Revenu;2021
05/12/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 704;597 681;Dépenses;2021
27/10/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 643;726 754;Dépenses;2021
11/12/2021;Rent;Charge - Rent - fournisseur 820;219 729;Dépenses;2021
05/01/2021;Export Sales;Vente - Export Sales - client 8517;397 021;Revenu;2021
14/11/2021;Export Sales;Vente - Export Sales - client 2843;1 188 595;Revenu;2021
17/10/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 683;991 777;Dépenses;2021
08/12/2021;Professional fees;Charge - Professional fees - fournisseur 598;93 763;Dépenses;2021
25/02/2021;Export Sales;Vente - Export Sales - client 1090;597 509;Revenu;2021
25/01/2021;Capex - Machinery/Equipment;Achat d'équipement de production;-16 796 504;Capex;2021
10/01/2021;Rent;Charge - Rent - fournisseur 478;119 015;Dépenses;2021
26/02/2021;Rent;Charge - Rent - fournisseur 779;291 426;Dépenses;2021
03/02/2021;Export Sales;Vente - Export Sales - client 6491;531 350;Revenu;2021
17/12/2021;Maintenance;Charge - Maintenance - fournisseur 213;144 439;Dépenses;2021
08/02/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 699;267 275;Dépenses;2021
02/01/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 946;223 640;Dépenses;2021
21/06/2021;Depreciation;Charge - Depreciation - fournisseur 492;173 921;Dépenses;2021
24/08/2021;Export Sales;Vente - Export Sales - client 3527;992 599;Revenu;2021
08/05/2021;Other Operating Income;Vente - Other Operating Income - client 9749;531 676;Revenu;2021
15/09/2021;Retail Sales;Vente - Retail Sales - client 7146;2 705 579;Revenu;2021
27/06/2021;Export Sales;Vente - Export Sales - client 6531;784 064;Revenu;2021
